# Trials behind speed.md. Written by `mise run bench:speed`; do not edit by hand.
# Date: 2026-09-24
# Roblox: 0.740.19.7400931
# Machine: 12th Gen Intel(R) Core(TM) i9-12900KF, 16 threads, win32 10.0.26200
# Runs: 2, back to back
# surge: 56b6fd5 (uncommitted changes)
# rbxts-transformer-surge: 0710f5d
# roblox-ts: 3.0.0
# @rbxts/flamework-binary-serializer: 0.7.0
# @rbxts/serio: 1.2.7
# Blink: 0.18.8
# Method: 9 trials per cell, each at least 0.2 seconds of calls after 0.1 seconds of warm-up calls, timed in chunks of 250 calls so that the yields between chunks are not in the time; within a row the libraries take turns, one trial each, and 3 idle frames separate one row from the next
fixture	library	half	run	trial	rate
small flat struct	surge	encode	1	1	3465372
small flat struct	surge	encode	1	2	3322747
small flat struct	surge	encode	1	3	3215138
small flat struct	surge	encode	1	4	3384959
small flat struct	surge	encode	1	5	3343436
small flat struct	surge	encode	1	6	3099454
small flat struct	surge	encode	1	7	3276833
small flat struct	surge	encode	1	8	3292672
small flat struct	surge	encode	1	9	3264401
small flat struct	surge	encode	2	1	3074600
small flat struct	surge	encode	2	2	3090329
small flat struct	surge	encode	2	3	2995414
small flat struct	surge	encode	2	4	2612619
small flat struct	surge	encode	2	5	3114618
small flat struct	surge	encode	2	6	2913609
small flat struct	surge	encode	2	7	3008356
small flat struct	surge	encode	2	8	3084380
small flat struct	surge	encode	2	9	2998877
small flat struct	surge	decode	1	1	5499170
small flat struct	surge	decode	1	2	5385284
small flat struct	surge	decode	1	3	5425024
small flat struct	surge	decode	1	4	5614363
small flat struct	surge	decode	1	5	5347277
small flat struct	surge	decode	1	6	5429120
small flat struct	surge	decode	1	7	5482114
small flat struct	surge	decode	1	8	5613911
small flat struct	surge	decode	1	9	5423999
small flat struct	surge	decode	2	1	5611110
small flat struct	surge	decode	2	2	5700802
small flat struct	surge	decode	2	3	5489957
small flat struct	surge	decode	2	4	5377390
small flat struct	surge	decode	2	5	4712458
small flat struct	surge	decode	2	6	5485131
small flat struct	surge	decode	2	7	4753315
small flat struct	surge	decode	2	8	5493410
small flat struct	surge	decode	2	9	5248477
small flat struct	fbs	encode	1	1	1865457
small flat struct	fbs	encode	1	2	2148560
small flat struct	fbs	encode	1	3	2158584
small flat struct	fbs	encode	1	4	2075523
small flat struct	fbs	encode	1	5	2095886
small flat struct	fbs	encode	1	6	2053210
small flat struct	fbs	encode	1	7	2138160
small flat struct	fbs	encode	1	8	2156650
small flat struct	fbs	encode	1	9	2163719
small flat struct	fbs	encode	2	1	1975581
small flat struct	fbs	encode	2	2	1969855
small flat struct	fbs	encode	2	3	1948649
small flat struct	fbs	encode	2	4	1797581
small flat struct	fbs	encode	2	5	1824345
small flat struct	fbs	encode	2	6	1893446
small flat struct	fbs	encode	2	7	1916188
small flat struct	fbs	encode	2	8	1890808
small flat struct	fbs	encode	2	9	1943505
small flat struct	fbs	decode	1	1	3417595
small flat struct	fbs	decode	1	2	3408747
small flat struct	fbs	decode	1	3	3412024
small flat struct	fbs	decode	1	4	3353517
small flat struct	fbs	decode	1	5	3422156
small flat struct	fbs	decode	1	6	3419634
small flat struct	fbs	decode	1	7	3429876
small flat struct	fbs	decode	1	8	3439438
small flat struct	fbs	decode	1	9	3394521
small flat struct	fbs	decode	2	1	3461802
small flat struct	fbs	decode	2	2	3347214
small flat struct	fbs	decode	2	3	3413270
small flat struct	fbs	decode	2	4	3196471
small flat struct	fbs	decode	2	5	2959685
small flat struct	fbs	decode	2	6	3455628
small flat struct	fbs	decode	2	7	3262670
small flat struct	fbs	decode	2	8	3373195
small flat struct	fbs	decode	2	9	3419140
small flat struct	serio	encode	1	1	837674
small flat struct	serio	encode	1	2	828568
small flat struct	serio	encode	1	3	828131
small flat struct	serio	encode	1	4	811031
small flat struct	serio	encode	1	5	787319
small flat struct	serio	encode	1	6	798658
small flat struct	serio	encode	1	7	829235
small flat struct	serio	encode	1	8	818006
small flat struct	serio	encode	1	9	818678
small flat struct	serio	encode	2	1	804270
small flat struct	serio	encode	2	2	794635
small flat struct	serio	encode	2	3	799319
small flat struct	serio	encode	2	4	758218
small flat struct	serio	encode	2	5	792505
small flat struct	serio	encode	2	6	805262
small flat struct	serio	encode	2	7	830501
small flat struct	serio	encode	2	8	788675
small flat struct	serio	encode	2	9	795226
small flat struct	serio	decode	1	1	1740174
small flat struct	serio	decode	1	2	1734187
small flat struct	serio	decode	1	3	1719140
small flat struct	serio	decode	1	4	1744117
small flat struct	serio	decode	1	5	1700976
small flat struct	serio	decode	1	6	1711889
small flat struct	serio	decode	1	7	1721004
small flat struct	serio	decode	1	8	1692195
small flat struct	serio	decode	1	9	1731014
small flat struct	serio	decode	2	1	1750634
small flat struct	serio	decode	2	2	1706972
small flat struct	serio	decode	2	3	1738808
small flat struct	serio	decode	2	4	1721452
small flat struct	serio	decode	2	5	1633227
small flat struct	serio	decode	2	6	1738421
small flat struct	serio	decode	2	7	1732800
small flat struct	serio	decode	2	8	1750535
small flat struct	serio	decode	2	9	1758259
small flat struct	blink	encode	1	1	2710833
small flat struct	blink	encode	1	2	2632378
small flat struct	blink	encode	1	3	2608555
small flat struct	blink	encode	1	4	2613449
small flat struct	blink	encode	1	5	2284838
small flat struct	blink	encode	1	6	2522863
small flat struct	blink	encode	1	7	2637275
small flat struct	blink	encode	1	8	2623988
small flat struct	blink	encode	1	9	2692450
small flat struct	blink	encode	2	1	2523079
small flat struct	blink	encode	2	2	2500510
small flat struct	blink	encode	2	3	2402255
small flat struct	blink	encode	2	4	2223487
small flat struct	blink	encode	2	5	2284313
small flat struct	blink	encode	2	6	2387572
small flat struct	blink	encode	2	7	2361983
small flat struct	blink	encode	2	8	2605748
small flat struct	blink	encode	2	9	2439468
small flat struct	blink	decode	1	1	3357843
small flat struct	blink	decode	1	2	3397347
small flat struct	blink	decode	1	3	3332170
small flat struct	blink	decode	1	4	3276132
small flat struct	blink	decode	1	5	3373536
small flat struct	blink	decode	1	6	3381513
small flat struct	blink	decode	1	7	3345353
small flat struct	blink	decode	1	8	3322387
small flat struct	blink	decode	1	9	3295370
small flat struct	blink	decode	2	1	3374681
small flat struct	blink	decode	2	2	2931594
small flat struct	blink	decode	2	3	3298212
small flat struct	blink	decode	2	4	3167230
small flat struct	blink	decode	2	5	3174363
small flat struct	blink	decode	2	6	3362197
small flat struct	blink	decode	2	7	3474722
small flat struct	blink	decode	2	8	3421081
small flat struct	blink	decode	2	9	3364973
small flat struct	baseline	encode	1	1	6113402
small flat struct	baseline	encode	1	2	5834962
small flat struct	baseline	encode	1	3	6075954
small flat struct	baseline	encode	1	4	6066172
small flat struct	baseline	encode	1	5	5555483
small flat struct	baseline	encode	1	6	6083908
small flat struct	baseline	encode	1	7	6146191
small flat struct	baseline	encode	1	8	6219167
small flat struct	baseline	encode	1	9	6115871
small flat struct	baseline	encode	2	1	5536089
small flat struct	baseline	encode	2	2	5604922
small flat struct	baseline	encode	2	3	5772509
small flat struct	baseline	encode	2	4	5487437
small flat struct	baseline	encode	2	5	5413576
small flat struct	baseline	encode	2	6	5518482
small flat struct	baseline	encode	2	7	5530479
small flat struct	baseline	encode	2	8	5422204
small flat struct	baseline	encode	2	9	5948676
small flat struct	baseline	decode	1	1	5730947
small flat struct	baseline	decode	1	2	5726844
small flat struct	baseline	decode	1	3	5614944
small flat struct	baseline	decode	1	4	5553592
small flat struct	baseline	decode	1	5	5553920
small flat struct	baseline	decode	1	6	5687459
small flat struct	baseline	decode	1	7	5578145
small flat struct	baseline	decode	1	8	5616009
small flat struct	baseline	decode	1	9	5515376
small flat struct	baseline	decode	2	1	5604969
small flat struct	baseline	decode	2	2	4544173
small flat struct	baseline	decode	2	3	5580564
