# Trials behind speed.md. Written by `mise run bench:speed`; do not edit by hand.
# Date: 2026-09-24
# Roblox: 0.740.19.7400931
# Machine: 12th Gen Intel(R) Core(TM) i9-12900KF, 16 threads, win32 10.0.26200
# Runs: 2, back to back
# surge: 56b6fd5 (uncommitted changes)
# rbxts-transformer-surge: 0710f5d (uncommitted changes)
# roblox-ts: 3.0.0
# @rbxts/flamework-binary-serializer: 0.7.0
# @rbxts/serio: 1.2.7
# Blink: 0.18.8
# Method: 9 trials per cell, each at least 0.2 seconds of calls after 0.1 seconds of warm-up calls, timed in chunks of 250 calls so that the yields between chunks are not in the time; within a row the libraries take turns, one trial each, and 3 idle frames separate one row from the next
fixture	library	half	run	trial	rate
small flat struct	surge	encode	1	1	4977160
small flat struct	surge	encode	1	2	4945679
small flat struct	surge	encode	1	3	4320671
small flat struct	surge	encode	1	4	4792160
small flat struct	surge	encode	1	5	4886177
small flat struct	surge	encode	1	6	4994991
small flat struct	surge	encode	1	7	4962475
small flat struct	surge	encode	1	8	4903987
small flat struct	surge	encode	1	9	5031282
small flat struct	surge	encode	2	1	4954408
small flat struct	surge	encode	2	2	4629407
small flat struct	surge	encode	2	3	4800108
small flat struct	surge	encode	2	4	4358691
small flat struct	surge	encode	2	5	4626619
small flat struct	surge	encode	2	6	4802111
small flat struct	surge	encode	2	7	4660928
small flat struct	surge	encode	2	8	4839705
small flat struct	surge	encode	2	9	4711193
small flat struct	surge	decode	1	1	5228034
small flat struct	surge	decode	1	2	4859615
small flat struct	surge	decode	1	3	4904872
small flat struct	surge	decode	1	4	5338048
small flat struct	surge	decode	1	5	5586973
small flat struct	surge	decode	1	6	5509636
small flat struct	surge	decode	1	7	5249971
small flat struct	surge	decode	1	8	5572182
small flat struct	surge	decode	1	9	5498922
small flat struct	surge	decode	2	1	5186056
small flat struct	surge	decode	2	2	5163851
small flat struct	surge	decode	2	3	5437342
small flat struct	surge	decode	2	4	5433652
small flat struct	surge	decode	2	5	5378964
small flat struct	surge	decode	2	6	5337843
small flat struct	surge	decode	2	7	5425539
small flat struct	surge	decode	2	8	5409529
small flat struct	surge	decode	2	9	5401444
small flat struct	fbs	encode	1	1	2144941
small flat struct	fbs	encode	1	2	2055397
small flat struct	fbs	encode	1	3	1971303
small flat struct	fbs	encode	1	4	2102601
small flat struct	fbs	encode	1	5	2114588
small flat struct	fbs	encode	1	6	2087313
small flat struct	fbs	encode	1	7	2084438
small flat struct	fbs	encode	1	8	2142769
small flat struct	fbs	encode	1	9	2157490
small flat struct	fbs	encode	2	1	2076492
small flat struct	fbs	encode	2	2	2090603
small flat struct	fbs	encode	2	3	2058980
small flat struct	fbs	encode	2	4	1744457
small flat struct	fbs	encode	2	5	2014487
small flat struct	fbs	encode	2	6	2012260
small flat struct	fbs	encode	2	7	2032146
small flat struct	fbs	encode	2	8	2037525
small flat struct	fbs	encode	2	9	2086125
small flat struct	fbs	decode	1	1	3299747
small flat struct	fbs	decode	1	2	3264425
small flat struct	fbs	decode	1	3	3151122
small flat struct	fbs	decode	1	4	3343665
small flat struct	fbs	decode	1	5	3358592
small flat struct	fbs	decode	1	6	3423021
small flat struct	fbs	decode	1	7	3291598
small flat struct	fbs	decode	1	8	3443936
small flat struct	fbs	decode	1	9	3464646
small flat struct	fbs	decode	2	1	3174335
small flat struct	fbs	decode	2	2	3183373
small flat struct	fbs	decode	2	3	3298753
small flat struct	fbs	decode	2	4	3279809
small flat struct	fbs	decode	2	5	3293822
small flat struct	fbs	decode	2	6	3303390
small flat struct	fbs	decode	2	7	3254127
small flat struct	fbs	decode	2	8	3291447
small flat struct	fbs	decode	2	9	3283597
small flat struct	serio	encode	1	1	831162
small flat struct	serio	encode	1	2	824649
small flat struct	serio	encode	1	3	806465
small flat struct	serio	encode	1	4	831799
small flat struct	serio	encode	1	5	803729
small flat struct	serio	encode	1	6	838435
small flat struct	serio	encode	1	7	830591
small flat struct	serio	encode	1	8	830383
small flat struct	serio	encode	1	9	828297
small flat struct	serio	encode	2	1	808663
small flat struct	serio	encode	2	2	818237
small flat struct	serio	encode	2	3	818603
small flat struct	serio	encode	2	4	804273
small flat struct	serio	encode	2	5	815501
small flat struct	serio	encode	2	6	822884
small flat struct	serio	encode	2	7	817296
small flat struct	serio	encode	2	8	826856
small flat struct	serio	encode	2	9	822440
small flat struct	serio	decode	1	1	1677289
small flat struct	serio	decode	1	2	1588587
small flat struct	serio	decode	1	3	1666261
small flat struct	serio	decode	1	4	1643075
small flat struct	serio	decode	1	5	1715473
small flat struct	serio	decode	1	6	1734925
small flat struct	serio	decode	1	7	1699173
small flat struct	serio	decode	1	8	1716127
small flat struct	serio	decode	1	9	1755283
small flat struct	serio	decode	2	1	1679279
small flat struct	serio	decode	2	2	1708132
small flat struct	serio	decode	2	3	1691774
