# Trials behind speed.md. Written by `mise run bench:speed`; do not edit by hand.
# Date: 2026-09-24
# Roblox: 0.740.19.7400931
# Machine: 12th Gen Intel(R) Core(TM) i9-12900KF, 16 threads, win32 10.0.26200
# Runs: 2, back to back
# surge: 56b6fd5
# rbxts-transformer-surge: 0710f5d (uncommitted changes)
# roblox-ts: 3.0.0
# @rbxts/flamework-binary-serializer: 0.7.0
# @rbxts/serio: 1.2.7
# Blink: 0.18.8
# Method: 9 trials per cell, each at least 0.2 seconds of calls after 0.1 seconds of warm-up calls, timed in chunks of 250 calls so that the yields between chunks are not in the time; within a row the libraries take turns, one trial each, and 3 idle frames separate one row from the next
fixture	library	half	run	trial	rate
small flat struct	surge	encode	1	1	2856622
small flat struct	surge	encode	1	2	2912700
small flat struct	surge	encode	1	3	2675780
small flat struct	surge	encode	1	4	2791641
small flat struct	surge	encode	1	5	2905242
small flat struct	surge	encode	1	6	2901057
small flat struct	surge	encode	1	7	2879030
small flat struct	surge	encode	1	8	2819614
small flat struct	surge	encode	1	9	2460641
small flat struct	surge	encode	2	1	2914869
small flat struct	surge	encode	2	2	2907639
small flat struct	surge	encode	2	3	2898414
small flat struct	surge	encode	2	4	2688684
small flat struct	surge	encode	2	5	2717079
small flat struct	surge	encode	2	6	2834500
small flat struct	surge	encode	2	7	2771972
small flat struct	surge	encode	2	8	2769412
small flat struct	surge	encode	2	9	2774584
small flat struct	surge	decode	1	1	5114772
small flat struct	surge	decode	1	2	5186948
small flat struct	surge	decode	1	3	5340676
small flat struct	surge	decode	1	4	5414642
small flat struct	surge	decode	1	5	5373100
small flat struct	surge	decode	1	6	5344025
small flat struct	surge	decode	1	7	5223698
small flat struct	surge	decode	1	8	5072836
small flat struct	surge	decode	1	9	5227623
small flat struct	surge	decode	2	1	5155356
small flat struct	surge	decode	2	2	4880262
small flat struct	surge	decode	2	3	4847376
small flat struct	surge	decode	2	4	4642082
small flat struct	surge	decode	2	5	4693782
small flat struct	surge	decode	2	6	4743722
small flat struct	surge	decode	2	7	4789799
small flat struct	surge	decode	2	8	4432343
small flat struct	surge	decode	2	9	4837782
small flat struct	fbs	encode	1	1	2087418
small flat struct	fbs	encode	1	2	2122665
small flat struct	fbs	encode	1	3	2006581
small flat struct	fbs	encode	1	4	2090709
small flat struct	fbs	encode	1	5	2083075
small flat struct	fbs	encode	1	6	2060972
small flat struct	fbs	encode	1	7	2117577
small flat struct	fbs	encode	1	8	2103018
small flat struct	fbs	encode	1	9	2049562
small flat struct	fbs	encode	2	1	2156806
small flat struct	fbs	encode	2	2	2125780
small flat struct	fbs	encode	2	3	2153152
small flat struct	fbs	encode	2	4	2047209
small flat struct	fbs	encode	2	5	2065609
small flat struct	fbs	encode	2	6	2084970
small flat struct	fbs	encode	2	7	2072727
small flat struct	fbs	encode	2	8	2048206
small flat struct	fbs	encode	2	9	2081724
small flat struct	fbs	decode	1	1	3248086
small flat struct	fbs	decode	1	2	3289709
small flat struct	fbs	decode	1	3	3297274
small flat struct	fbs	decode	1	4	3382344
small flat struct	fbs	decode	1	5	3375290
small flat struct	fbs	decode	1	6	3386437
