# Trials behind speed.md. Written by `mise run bench:speed`; do not edit by hand.
# Date: 2026-09-25
# Roblox: 0.740.19.7400931
# Machine: 12th Gen Intel(R) Core(TM) i9-12900KF, 16 threads, win32 10.0.26200
# Runs: 2, back to back
# surge: c295e5b
# rbxts-transformer-surge: ac69b4d
# roblox-ts: 3.0.0
# @rbxts/flamework-binary-serializer: 0.7.0
# @rbxts/serio: 1.2.7
# Blink: 0.18.8
# Method: 9 trials per cell, each at least 0.2 seconds of calls after 0.1 seconds of warm-up calls, timed in chunks of 250 calls so that the yields between chunks are not in the time; within a row the libraries take turns, one trial each, and 3 idle frames separate one row from the next
fixture	library	half	run	trial	rate
small flat struct	surge	encode	1	1	4961977
small flat struct	surge	encode	1	2	5024163
small flat struct	surge	encode	1	3	4881089
small flat struct	surge	encode	1	4	4805200
small flat struct	surge	encode	1	5	4993004
small flat struct	surge	encode	1	6	4601426
small flat struct	surge	encode	1	7	4656808
small flat struct	surge	encode	1	8	4848355
small flat struct	surge	encode	1	9	4847107
small flat struct	surge	encode	2	1	4729042
small flat struct	surge	encode	2	2	4605941
small flat struct	surge	encode	2	3	4688441
small flat struct	surge	encode	2	4	4800816
small flat struct	surge	encode	2	5	4862904
small flat struct	surge	encode	2	6	4484641
small flat struct	surge	encode	2	7	4780399
small flat struct	surge	encode	2	8	4531123
small flat struct	surge	encode	2	9	4805222
small flat struct	surge	decode	1	1	5408913
small flat struct	surge	decode	1	2	5105012
small flat struct	surge	decode	1	3	4873090
small flat struct	surge	decode	1	4	5478515
small flat struct	surge	decode	1	5	5506578
small flat struct	surge	decode	1	6	5610546
small flat struct	surge	decode	1	7	5585608
small flat struct	surge	decode	1	8	5506426
small flat struct	surge	decode	1	9	5463649
small flat struct	surge	decode	2	1	5326381
small flat struct	surge	decode	2	2	5676785
small flat struct	surge	decode	2	3	5223627
small flat struct	surge	decode	2	4	5483487
small flat struct	surge	decode	2	5	5460996
small flat struct	surge	decode	2	6	5489555
small flat struct	surge	decode	2	7	5571753
small flat struct	surge	decode	2	8	5562328
small flat struct	surge	decode	2	9	5474570
small flat struct	surge (readChecks)	encode	1	1	5006426
small flat struct	surge (readChecks)	encode	1	2	4911773
small flat struct	surge (readChecks)	encode	1	3	4741098
small flat struct	surge (readChecks)	encode	1	4	5040005
small flat struct	surge (readChecks)	encode	1	5	4799100
small flat struct	surge (readChecks)	encode	1	6	4595981
small flat struct	surge (readChecks)	encode	1	7	4671694
small flat struct	surge (readChecks)	encode	1	8	4812694
small flat struct	surge (readChecks)	encode	1	9	4783450
small flat struct	surge (readChecks)	encode	2	1	4733644
small flat struct	surge (readChecks)	encode	2	2	4681458
small flat struct	surge (readChecks)	encode	2	3	4725742
small flat struct	surge (readChecks)	encode	2	4	4894711
small flat struct	surge (readChecks)	encode	2	5	4835467
small flat struct	surge (readChecks)	encode	2	6	4529866
small flat struct	surge (readChecks)	encode	2	7	4858745
small flat struct	surge (readChecks)	encode	2	8	4798460
small flat struct	surge (readChecks)	encode	2	9	4880911
small flat struct	surge (readChecks)	decode	1	1	5226423
small flat struct	surge (readChecks)	decode	1	2	4892402
small flat struct	surge (readChecks)	decode	1	3	4774986
small flat struct	surge (readChecks)	decode	1	4	5193379
