# Trials behind speed.md. Written by `mise run bench:speed`; do not edit by hand.
# Date: 2026-09-24
# Roblox: 0.740.19.7400931
# Machine: 12th Gen Intel(R) Core(TM) i9-12900KF, 16 threads, win32 10.0.26200
# Runs: 2, back to back
# surge: 56b6fd5
# rbxts-transformer-surge: 0710f5d
# roblox-ts: 3.0.0
# @rbxts/flamework-binary-serializer: 0.7.0
# @rbxts/serio: 1.2.7
# Blink: 0.18.8
# Method: 9 trials per cell, each at least 0.2 seconds of calls after 0.1 seconds of warm-up calls, timed in chunks of 250 calls so that the yields between chunks are not in the time; within a row the libraries take turns, one trial each, and 3 idle frames separate one row from the next
fixture	library	half	run	trial	rate
small flat struct	surge	encode	1	1	2839995
small flat struct	surge	encode	1	2	2807280
small flat struct	surge	encode	1	3	2729180
small flat struct	surge	encode	1	4	2697395
small flat struct	surge	encode	1	5	2548312
small flat struct	surge	encode	1	6	2381225
small flat struct	surge	encode	1	7	2343402
small flat struct	surge	encode	1	8	2678619
small flat struct	surge	encode	1	9	2621934
small flat struct	surge	encode	2	1	2684474
small flat struct	surge	encode	2	2	2674440
small flat struct	surge	encode	2	3	2592093
small flat struct	surge	encode	2	4	2709943
small flat struct	surge	encode	2	5	2321895
small flat struct	surge	encode	2	6	2678801
small flat struct	surge	encode	2	7	2733455
small flat struct	surge	encode	2	8	2349433
small flat struct	surge	encode	2	9	2463986
small flat struct	surge	decode	1	1	5522483
small flat struct	surge	decode	1	2	5108349
small flat struct	surge	decode	1	3	5302907
small flat struct	surge	decode	1	4	5273610
small flat struct	surge	decode	1	5	5298665
small flat struct	surge	decode	1	6	5180299
small flat struct	surge	decode	1	7	5389221
small flat struct	surge	decode	1	8	5299459
small flat struct	surge	decode	1	9	5296915
small flat struct	surge	decode	2	1	5264732
small flat struct	surge	decode	2	2	4770539
small flat struct	surge	decode	2	3	4700989
small flat struct	surge	decode	2	4	4947300
small flat struct	surge	decode	2	5	4678706
small flat struct	surge	decode	2	6	4689027
small flat struct	surge	decode	2	7	4599253
small flat struct	surge	decode	2	8	4808339
small flat struct	surge	decode	2	9	4773316
small flat struct	fbs	encode	1	1	2106134
small flat struct	fbs	encode	1	2	2115869
small flat struct	fbs	encode	1	3	2129179
small flat struct	fbs	encode	1	4	2083868
small flat struct	fbs	encode	1	5	1926125
small flat struct	fbs	encode	1	6	1868169
small flat struct	fbs	encode	1	7	2030790
small flat struct	fbs	encode	1	8	2034814
small flat struct	fbs	encode	1	9	1926850
small flat struct	fbs	encode	2	1	2102474
small flat struct	fbs	encode	2	2	2043117
small flat struct	fbs	encode	2	3	2048487
small flat struct	fbs	encode	2	4	2025441
small flat struct	fbs	encode	2	5	1931046
small flat struct	fbs	encode	2	6	2131201
small flat struct	fbs	encode	2	7	2097838
small flat struct	fbs	encode	2	8	2053127
small flat struct	fbs	encode	2	9	1879330
small flat struct	fbs	decode	1	1	3395819
small flat struct	fbs	decode	1	2	3271366
small flat struct	fbs	decode	1	3	3312771
small flat struct	fbs	decode	1	4	3333427
small flat struct	fbs	decode	1	5	3247886
small flat struct	fbs	decode	1	6	3174902
small flat struct	fbs	decode	1	7	3277634
small flat struct	fbs	decode	1	8	3386079
small flat struct	fbs	decode	1	9	3350561
small flat struct	fbs	decode	2	1	3423927
small flat struct	fbs	decode	2	2	3081950
small flat struct	fbs	decode	2	3	3145086
small flat struct	fbs	decode	2	4	3035993
small flat struct	fbs	decode	2	5	3218073
small flat struct	fbs	decode	2	6	3100032
small flat struct	fbs	decode	2	7	3116235
small flat struct	fbs	decode	2	8	3108184
small flat struct	fbs	decode	2	9	3090172
small flat struct	serio	encode	1	1	818117
small flat struct	serio	encode	1	2	838045
small flat struct	serio	encode	1	3	835875
small flat struct	serio	encode	1	4	822960
small flat struct	serio	encode	1	5	763297
small flat struct	serio	encode	1	6	814332
small flat struct	serio	encode	1	7	827494
small flat struct	serio	encode	1	8	805535
small flat struct	serio	encode	1	9	789366
small flat struct	serio	encode	2	1	810326
small flat struct	serio	encode	2	2	807615
small flat struct	serio	encode	2	3	818965
small flat struct	serio	encode	2	4	805866
small flat struct	serio	encode	2	5	791553
small flat struct	serio	encode	2	6	795813
small flat struct	serio	encode	2	7	782716
small flat struct	serio	encode	2	8	787160
small flat struct	serio	encode	2	9	800207
small flat struct	serio	decode	1	1	1719924
small flat struct	serio	decode	1	2	1705841
small flat struct	serio	decode	1	3	1739461
small flat struct	serio	decode	1	4	1724828
small flat struct	serio	decode	1	5	1731444
small flat struct	serio	decode	1	6	1738647
small flat struct	serio	decode	1	7	1707227
small flat struct	serio	decode	1	8	1710411
small flat struct	serio	decode	1	9	1686590
small flat struct	serio	decode	2	1	1736211
small flat struct	serio	decode	2	2	1659235
small flat struct	serio	decode	2	3	1659250
small flat struct	serio	decode	2	4	1623571
small flat struct	serio	decode	2	5	1643207
small flat struct	serio	decode	2	6	1587641
small flat struct	serio	decode	2	7	1616138
small flat struct	serio	decode	2	8	1609674
small flat struct	serio	decode	2	9	1634703
small flat struct	blink	encode	1	1	2670241
small flat struct	blink	encode	1	2	2647086
small flat struct	blink	encode	1	3	2667527
small flat struct	blink	encode	1	4	2554129
small flat struct	blink	encode	1	5	2335836
small flat struct	blink	encode	1	6	2384949
small flat struct	blink	encode	1	7	2593185
small flat struct	blink	encode	1	8	2538351
small flat struct	blink	encode	1	9	2528023
small flat struct	blink	encode	2	1	2583103
small flat struct	blink	encode	2	2	2564205
small flat struct	blink	encode	2	3	2566875
small flat struct	blink	encode	2	4	2509026
small flat struct	blink	encode	2	5	2530810
small flat struct	blink	encode	2	6	2228060
small flat struct	blink	encode	2	7	2395935
small flat struct	blink	encode	2	8	2408044
small flat struct	blink	encode	2	9	2322200
small flat struct	blink	decode	1	1	3391032
small flat struct	blink	decode	1	2	3323476
small flat struct	blink	decode	1	3	3403197
small flat struct	blink	decode	1	4	3408174
small flat struct	blink	decode	1	5	3354972
small flat struct	blink	decode	1	6	3359792
small flat struct	blink	decode	1	7	3296196
small flat struct	blink	decode	1	8	3363726
small flat struct	blink	decode	1	9	3256958
small flat struct	blink	decode	2	1	3363304
small flat struct	blink	decode	2	2	3159491
small flat struct	blink	decode	2	3	3029459
small flat struct	blink	decode	2	4	3028508
small flat struct	blink	decode	2	5	3089430
small flat struct	blink	decode	2	6	2860483
small flat struct	blink	decode	2	7	3224176
small flat struct	blink	decode	2	8	3100693
small flat struct	blink	decode	2	9	3062107
small flat struct	baseline	encode	1	1	6287467
small flat struct	baseline	encode	1	2	5882324
small flat struct	baseline	encode	1	3	6000788
small flat struct	baseline	encode	1	4	5924452
small flat struct	baseline	encode	1	5	5125591
small flat struct	baseline	encode	1	6	5384276
small flat struct	baseline	encode	1	7	6089726
small flat struct	baseline	encode	1	8	5885347
small flat struct	baseline	encode	1	9	5827238
small flat struct	baseline	encode	2	1	6058470
small flat struct	baseline	encode	2	2	5959982
small flat struct	baseline	encode	2	3	5910848
small flat struct	baseline	encode	2	4	5443634
small flat struct	baseline	encode	2	5	5532237
small flat struct	baseline	encode	2	6	5898027
small flat struct	baseline	encode	2	7	5466888
small flat struct	baseline	encode	2	8	5463190
small flat struct	baseline	encode	2	9	5662609
small flat struct	baseline	decode	1	1	5713367
small flat struct	baseline	decode	1	2	5714934
small flat struct	baseline	decode	1	3	5726000
small flat struct	baseline	decode	1	4	5512131
small flat struct	baseline	decode	1	5	5557092
small flat struct	baseline	decode	1	6	5698479
small flat struct	baseline	decode	1	7	5409605
small flat struct	baseline	decode	1	8	5496060
small flat struct	baseline	decode	1	9	5279044
small flat struct	baseline	decode	2	1	5599919
small flat struct	baseline	decode	2	2	5169860
small flat struct	baseline	decode	2	3	4900140
small flat struct	baseline	decode	2	4	4943261
small flat struct	baseline	decode	2	5	4904245
small flat struct	baseline	decode	2	6	4674855
small flat struct	baseline	decode	2	7	4982395
small flat struct	baseline	decode	2	8	5212125
small flat struct	baseline	decode	2	9	4948716
deeply nested object	surge	encode	1	1	2010687
deeply nested object	surge	encode	1	2	2158543
deeply nested object	surge	encode	1	3	2123551
deeply nested object	surge	encode	1	4	2094874
deeply nested object	surge	encode	1	5	2041365
deeply nested object	surge	encode	1	6	2143434
deeply nested object	surge	encode	1	7	2037369
deeply nested object	surge	encode	1	8	2002898
deeply nested object	surge	encode	1	9	2115041
deeply nested object	surge	encode	2	1	2142005
deeply nested object	surge	encode	2	2	2030383
deeply nested object	surge	encode	2	3	2001803
deeply nested object	surge	encode	2	4	2196005
deeply nested object	surge	encode	2	5	2162034
deeply nested object	surge	encode	2	6	2206104
deeply nested object	surge	encode	2	7	2237807
deeply nested object	surge	encode	2	8	2193825
deeply nested object	surge	encode	2	9	2233216
deeply nested object	surge	decode	1	1	2304478
deeply nested object	surge	decode	1	2	2313149
deeply nested object	surge	decode	1	3	2348723
deeply nested object	surge	decode	1	4	2354730
deeply nested object	surge	decode	1	5	2363556
deeply nested object	surge	decode	1	6	2031292
deeply nested object	surge	decode	1	7	2140884
deeply nested object	surge	decode	1	8	2336138
deeply nested object	surge	decode	1	9	2330392
deeply nested object	surge	decode	2	1	2141814
deeply nested object	surge	decode	2	2	2209440
deeply nested object	surge	decode	2	3	2273705
deeply nested object	surge	decode	2	4	2294397
deeply nested object	surge	decode	2	5	2167205
deeply nested object	surge	decode	2	6	2228926
deeply nested object	surge	decode	2	7	2196002
deeply nested object	surge	decode	2	8	2152697
deeply nested object	surge	decode	2	9	2262693
deeply nested object	fbs	encode	1	1	1536980
deeply nested object	fbs	encode	1	2	1624920
deeply nested object	fbs	encode	1	3	1547521
deeply nested object	fbs	encode	1	4	1563927
deeply nested object	fbs	encode	1	5	1551277
deeply nested object	fbs	encode	1	6	1596975
deeply nested object	fbs	encode	1	7	1560529
deeply nested object	fbs	encode	1	8	1542876
deeply nested object	fbs	encode	1	9	1569513
deeply nested object	fbs	encode	2	1	1505444
deeply nested object	fbs	encode	2	2	1561480
deeply nested object	fbs	encode	2	3	1464907
deeply nested object	fbs	encode	2	4	1605757
deeply nested object	fbs	encode	2	5	1555903
deeply nested object	fbs	encode	2	6	1628439
deeply nested object	fbs	encode	2	7	1629118
deeply nested object	fbs	encode	2	8	1602154
deeply nested object	fbs	encode	2	9	1624724
deeply nested object	fbs	decode	1	1	1526058
deeply nested object	fbs	decode	1	2	1534016
deeply nested object	fbs	decode	1	3	1487815
deeply nested object	fbs	decode	1	4	1491940
deeply nested object	fbs	decode	1	5	1500705
deeply nested object	fbs	decode	1	6	1414406
deeply nested object	fbs	decode	1	7	1483465
deeply nested object	fbs	decode	1	8	1521761
deeply nested object	fbs	decode	1	9	1463207
deeply nested object	fbs	decode	2	1	1439362
deeply nested object	fbs	decode	2	2	1405901
deeply nested object	fbs	decode	2	3	1399950
deeply nested object	fbs	decode	2	4	1485631
deeply nested object	fbs	decode	2	5	1470121
deeply nested object	fbs	decode	2	6	1442421
deeply nested object	fbs	decode	2	7	1436810
deeply nested object	fbs	decode	2	8	1437006
deeply nested object	fbs	decode	2	9	1434928
deeply nested object	serio	encode	1	1	457624
deeply nested object	serio	encode	1	2	470154
deeply nested object	serio	encode	1	3	460184
deeply nested object	serio	encode	1	4	464441
deeply nested object	serio	encode	1	5	466491
deeply nested object	serio	encode	1	6	465878
deeply nested object	serio	encode	1	7	456794
deeply nested object	serio	encode	1	8	471756
deeply nested object	serio	encode	1	9	459665
deeply nested object	serio	encode	2	1	463670
deeply nested object	serio	encode	2	2	465092
deeply nested object	serio	encode	2	3	470091
deeply nested object	serio	encode	2	4	466545
deeply nested object	serio	encode	2	5	465032
deeply nested object	serio	encode	2	6	466818
deeply nested object	serio	encode	2	7	469934
deeply nested object	serio	encode	2	8	464062
deeply nested object	serio	encode	2	9	472495
deeply nested object	serio	decode	1	1	749020
deeply nested object	serio	decode	1	2	756281
deeply nested object	serio	decode	1	3	740581
