# Trials behind speed.md. Written by `mise run bench:speed`; do not edit by hand.
# Date: 2026-09-24
# Roblox: 0.740.19.7400931
# Machine: 12th Gen Intel(R) Core(TM) i9-12900KF, 16 threads, win32 10.0.26200
# Runs: 2, back to back
# surge: 56b6fd5 (uncommitted changes)
# rbxts-transformer-surge: 0710f5d (uncommitted changes)
# roblox-ts: 3.0.0
# @rbxts/flamework-binary-serializer: 0.7.0
# @rbxts/serio: 1.2.7
# Blink: 0.18.8
# Method: 9 trials per cell, each at least 0.2 seconds of calls after 0.1 seconds of warm-up calls, timed in chunks of 250 calls so that the yields between chunks are not in the time; within a row the libraries take turns, one trial each, and 3 idle frames separate one row from the next
fixture	library	half	run	trial	rate
small flat struct	surge	encode	1	1	3486838
small flat struct	surge	encode	1	2	3586124
small flat struct	surge	encode	1	3	3526252
small flat struct	surge	encode	1	4	3722896
small flat struct	surge	encode	1	5	3783534
small flat struct	surge	encode	1	6	3745344
small flat struct	surge	encode	1	7	3888112
small flat struct	surge	encode	1	8	3481919
small flat struct	surge	encode	1	9	3819334
small flat struct	surge	encode	2	1	3873336
small flat struct	surge	encode	2	2	3889813
small flat struct	surge	encode	2	3	3783678
small flat struct	surge	encode	2	4	3672880
small flat struct	surge	encode	2	5	3711166
small flat struct	surge	encode	2	6	3369239
small flat struct	surge	encode	2	7	3519912
small flat struct	surge	encode	2	8	3645946
small flat struct	surge	encode	2	9	3530417
small flat struct	surge	decode	1	1	5328726
small flat struct	surge	decode	1	2	5322088
small flat struct	surge	decode	1	3	4803325
small flat struct	surge	decode	1	4	4913341
small flat struct	surge	decode	1	5	4402234
small flat struct	surge	decode	1	6	5402254
small flat struct	surge	decode	1	7	5550251
small flat struct	surge	decode	1	8	5561335
small flat struct	surge	decode	1	9	5328009
small flat struct	surge	decode	2	1	5411131
small flat struct	surge	decode	2	2	5340449
small flat struct	surge	decode	2	3	5330621
small flat struct	surge	decode	2	4	4796522
small flat struct	surge	decode	2	5	4809970
small flat struct	surge	decode	2	6	5179738
small flat struct	surge	decode	2	7	5156791
small flat struct	surge	decode	2	8	5193542
small flat struct	surge	decode	2	9	4897084
small flat struct	fbs	encode	1	1	2037224
small flat struct	fbs	encode	1	2	1908702
small flat struct	fbs	encode	1	3	1783691
small flat struct	fbs	encode	1	4	2105287
small flat struct	fbs	encode	1	5	2003816
small flat struct	fbs	encode	1	6	2078590
small flat struct	fbs	encode	1	7	2145090
small flat struct	fbs	encode	1	8	1962438
small flat struct	fbs	encode	1	9	2157455
small flat struct	fbs	encode	2	1	2187281
small flat struct	fbs	encode	2	2	2186172
small flat struct	fbs	encode	2	3	2177471
small flat struct	fbs	encode	2	4	2103173
small flat struct	fbs	encode	2	5	2086177
small flat struct	fbs	encode	2	6	1927212
small flat struct	fbs	encode	2	7	2077440
small flat struct	fbs	encode	2	8	2094664
small flat struct	fbs	encode	2	9	2058740
small flat struct	fbs	decode	1	1	3388071
small flat struct	fbs	decode	1	2	3390716
small flat struct	fbs	decode	1	3	3231965
small flat struct	fbs	decode	1	4	3358384
small flat struct	fbs	decode	1	5	3177620
small flat struct	fbs	decode	1	6	3358944
small flat struct	fbs	decode	1	7	3443433
small flat struct	fbs	decode	1	8	3462147
small flat struct	fbs	decode	1	9	3467562
small flat struct	fbs	decode	2	1	3426390
small flat struct	fbs	decode	2	2	3369916
small flat struct	fbs	decode	2	3	3304521
small flat struct	fbs	decode	2	4	3166179
small flat struct	fbs	decode	2	5	3039885
small flat struct	fbs	decode	2	6	3232979
small flat struct	fbs	decode	2	7	3293557
small flat struct	fbs	decode	2	8	3255996
small flat struct	fbs	decode	2	9	3166051
