# Trials behind speed.md. Written by `mise run bench:speed`; do not edit by hand.
# Date: 2026-09-24
# Roblox: 0.740.19.7400931
# Machine: 12th Gen Intel(R) Core(TM) i9-12900KF, 16 threads, win32 10.0.26200
# Runs: 2, back to back
# surge: 56b6fd5
# rbxts-transformer-surge: 0710f5d (uncommitted changes)
# roblox-ts: 3.0.0
# @rbxts/flamework-binary-serializer: 0.7.0
# @rbxts/serio: 1.2.7
# Blink: 0.18.8
# Method: 9 trials per cell, each at least 0.2 seconds of calls after 0.1 seconds of warm-up calls, timed in chunks of 250 calls so that the yields between chunks are not in the time; within a row the libraries take turns, one trial each, and 3 idle frames separate one row from the next
fixture	library	half	run	trial	rate
small flat struct	surge	encode	1	1	3065237
small flat struct	surge	encode	1	2	3006353
small flat struct	surge	encode	1	3	2962441
small flat struct	surge	encode	1	4	3051129
small flat struct	surge	encode	1	5	3009979
small flat struct	surge	encode	1	6	3049306
small flat struct	surge	encode	1	7	3049450
small flat struct	surge	encode	1	8	2953932
small flat struct	surge	encode	1	9	2860105
small flat struct	surge	encode	2	1	2801075
small flat struct	surge	encode	2	2	2958188
small flat struct	surge	encode	2	3	2750318
small flat struct	surge	encode	2	4	2978381
small flat struct	surge	encode	2	5	3055836
small flat struct	surge	encode	2	6	2964049
small flat struct	surge	encode	2	7	3016123
small flat struct	surge	encode	2	8	3034765
small flat struct	surge	encode	2	9	3038246
small flat struct	surge	decode	1	1	5328201
small flat struct	surge	decode	1	2	5298985
small flat struct	surge	decode	1	3	5403411
small flat struct	surge	decode	1	4	5495178
small flat struct	surge	decode	1	5	5526572
small flat struct	surge	decode	1	6	5531009
small flat struct	surge	decode	1	7	5622878
small flat struct	surge	decode	1	8	5539391
small flat struct	surge	decode	1	9	5488026
small flat struct	surge	decode	2	1	5479027
small flat struct	surge	decode	2	2	5488555
small flat struct	surge	decode	2	3	5483424
small flat struct	surge	decode	2	4	5598607
small flat struct	surge	decode	2	5	5609689
small flat struct	surge	decode	2	6	5535024
small flat struct	surge	decode	2	7	5614003
small flat struct	surge	decode	2	8	5546250
small flat struct	surge	decode	2	9	5000117
small flat struct	fbs	encode	1	1	2165024
small flat struct	fbs	encode	1	2	2122374
small flat struct	fbs	encode	1	3	2099614
small flat struct	fbs	encode	1	4	2198052
small flat struct	fbs	encode	1	5	2224877
small flat struct	fbs	encode	1	6	2215202
small flat struct	fbs	encode	1	7	2201241
small flat struct	fbs	encode	1	8	2137902
small flat struct	fbs	encode	1	9	2135557
small flat struct	fbs	encode	2	1	2029637
small flat struct	fbs	encode	2	2	2129869
small flat struct	fbs	encode	2	3	1901257
small flat struct	fbs	encode	2	4	2148835
small flat struct	fbs	encode	2	5	2163139
small flat struct	fbs	encode	2	6	2197364
small flat struct	fbs	encode	2	7	2180267
small flat struct	fbs	encode	2	8	2188658
small flat struct	fbs	encode	2	9	2174477
small flat struct	fbs	decode	1	1	3452219
small flat struct	fbs	decode	1	2	3351416
small flat struct	fbs	decode	1	3	3443953
small flat struct	fbs	decode	1	4	3375042
small flat struct	fbs	decode	1	5	3391657
small flat struct	fbs	decode	1	6	3392837
small flat struct	fbs	decode	1	7	3409209
small flat struct	fbs	decode	1	8	3403229
small flat struct	fbs	decode	1	9	3454912
small flat struct	fbs	decode	2	1	3322315
small flat struct	fbs	decode	2	2	3350155
small flat struct	fbs	decode	2	3	3419824
small flat struct	fbs	decode	2	4	3406970
small flat struct	fbs	decode	2	5	3463019
small flat struct	fbs	decode	2	6	3427341
small flat struct	fbs	decode	2	7	3426591
small flat struct	fbs	decode	2	8	3468822
small flat struct	fbs	decode	2	9	3203543
small flat struct	serio	encode	1	1	822289
small flat struct	serio	encode	1	2	814839
small flat struct	serio	encode	1	3	820139
small flat struct	serio	encode	1	4	831800
small flat struct	serio	encode	1	5	828271
small flat struct	serio	encode	1	6	831573
small flat struct	serio	encode	1	7	823406
small flat struct	serio	encode	1	8	823056
small flat struct	serio	encode	1	9	833986
small flat struct	serio	encode	2	1	810484
small flat struct	serio	encode	2	2	823591
small flat struct	serio	encode	2	3	836731
small flat struct	serio	encode	2	4	833332
small flat struct	serio	encode	2	5	828227
small flat struct	serio	encode	2	6	815524
small flat struct	serio	encode	2	7	828732
small flat struct	serio	encode	2	8	824873
small flat struct	serio	encode	2	9	835153
small flat struct	serio	decode	1	1	1747358
small flat struct	serio	decode	1	2	1729901
small flat struct	serio	decode	1	3	1733142
small flat struct	serio	decode	1	4	1742321
small flat struct	serio	decode	1	5	1749682
small flat struct	serio	decode	1	6	1744529
small flat struct	serio	decode	1	7	1714342
small flat struct	serio	decode	1	8	1704902
small flat struct	serio	decode	1	9	1733630
small flat struct	serio	decode	2	1	1743617
small flat struct	serio	decode	2	2	1743677
small flat struct	serio	decode	2	3	1748404
small flat struct	serio	decode	2	4	1716188
small flat struct	serio	decode	2	5	1714232
small flat struct	serio	decode	2	6	1724264
small flat struct	serio	decode	2	7	1759307
small flat struct	serio	decode	2	8	1641727
small flat struct	serio	decode	2	9	1690121
small flat struct	blink	encode	1	1	2681791
small flat struct	blink	encode	1	2	2329096
small flat struct	blink	encode	1	3	2636954
small flat struct	blink	encode	1	4	2701453
small flat struct	blink	encode	1	5	2660046
small flat struct	blink	encode	1	6	2603451
small flat struct	blink	encode	1	7	2633785
small flat struct	blink	encode	1	8	2361062
small flat struct	blink	encode	1	9	2537147
small flat struct	blink	encode	2	1	2440279
small flat struct	blink	encode	2	2	2741301
small flat struct	blink	encode	2	3	2633151
small flat struct	blink	encode	2	4	2734131
small flat struct	blink	encode	2	5	2819848
small flat struct	blink	encode	2	6	2741958
small flat struct	blink	encode	2	7	2769799
small flat struct	blink	encode	2	8	2744179
small flat struct	blink	encode	2	9	2698276
small flat struct	blink	decode	1	1	3318065
small flat struct	blink	decode	1	2	3400786
small flat struct	blink	decode	1	3	3394062
small flat struct	blink	decode	1	4	3345454
small flat struct	blink	decode	1	5	3389739
small flat struct	blink	decode	1	6	3318415
small flat struct	blink	decode	1	7	3361310
small flat struct	blink	decode	1	8	3356792
small flat struct	blink	decode	1	9	3387822
small flat struct	blink	decode	2	1	3407154
